,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
206,Jalen Williams,PF,OKC,4,4,31,13.2,3.2,4.0,0.5,0.2,3.2,3.5,21,45,1,9,10,14,52.0,14.399999999999999
207,Jalen Wilson,PF,BRK,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
208,Jamal Cain,PF,MIA,1,0,6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,2,4,33.0,2.5
209,Jamal Murray,PG,DEN,1,1,39,18.0,2.0,13.0,1.0,0.0,2.0,4.0,5,15,2,6,6,6,51.0,28.0
210,Jamaree Bouyea,PG,POR,3,0,6,0.0,0.7,0.0,0.0,0.0,1.7,0.7,0,5,0,2,0,0,0.0,-1.7
211,James Bouknight,SG,CHO,1,0,4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3,1,2,0,0,83.0,6.0
212,James Harden,SG,LAC,4,4,34,16.8,5.2,6.0,1.5,0.5,2.2,1.8,20,40,8,21,19,23,67.0,26.0
213,James Wiseman,C,DET,3,0,6,4.2,2.5,0.2,0.0,0.0,0.0,0.8,8,9,0,0,1,2,64.0,6.1000000000000005
214,Jarace Walker,PF,IND,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
215,Jared Butler,SG,WAS,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
216,Jared Rhoden,SG,DET,1,0,7,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,1,2,0,0,83.0,3.0
217,Jaren Jackson Jr.,C,MEM,5,5,29,15.6,5.8,2.2,0.4,0.8,2.0,2.0,30,70,9,23,9,18,50.0,20.799999999999997
218,Jarred Vanderbilt,PF,LAL,2,0,9,1.0,3.7,1.0,0.3,0.3,0.3,0.7,1,4,0,2,1,2,20.0,5.3
219,Jarrett Allen,C,CLE,5,5,30,15.0,7.8,1.8,0.6,2.2,1.6,3.0,29,52,1,3,16,19,62.0,22.8
220,Jaxson Hayes,C,LAL,6,0,13,4.5,1.8,0.3,0.5,0.7,0.7,1.7,11,14,0,1,5,9,75.0,5.3999999999999995
221,Jaylen Brown,SF,BOS,5,5,33,25.8,5.2,3.4,1.2,1.0,3.0,2.4,51,101,15,37,12,21,59.0,31.200000000000003
222,Jaylen Martin,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
223,Jaylen Nowell,SG,MEM,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
224,Jaylin Williams,C,OKC,4,0,16,3.2,4.5,2.5,0.8,0.0,0.5,1.8,4,20,2,12,3,4,29.0,8.7
225,Jayson Tatum,PF,BOS,5,5,36,23.8,8.2,3.6,0.8,0.0,2.6,2.2,42,97,9,41,26,32,54.0,31.599999999999998
226,Jeenathan Williams,SG,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
227,Jeff Green,PF,HOU,4,0,14,2.8,1.5,0.8,0.0,0.8,1.0,0.5,3,10,0,5,5,5,46.0,4.3999999999999995
228,Jerami Grant,PF,POR,3,3,34,25.3,3.3,3.3,0.7,0.7,1.3,1.3,26,56,12,23,12,14,61.0,30.700000000000006
229,Jeremiah Robinson-Earl,PF,NOP,3,0,5,1.3,0.7,0.5,0.2,0.0,0.5,0.5,3,5,2,2,0,0,39.0,1.7000000000000002
230,Jeremy Sochan,PG,SAS,4,4,31,9.5,6.0,5.0,1.0,0.0,3.2,2.8,16,40,4,7,2,4,45.0,15.5
231,Jericho Sims,C,NYK,3,0,1,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0,0,0,0,0,0,0.0,0.0
232,Jermaine Samuels,SF,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
233,Jerome Robinson,SG,GSW,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
234,Jett Howard,SF,ORL,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,4,0,0,0.0,0.0
235,Jevon Carter,PG,CHI,4,0,12,3.2,1.0,1.0,0.2,0.2,0.8,0.5,6,12,1,4,0,0,53.0,4.300000000000001
236,Jimmy Butler,PF,MIA,3,3,25,18.8,3.2,2.5,1.5,0.0,1.8,0.8,24,39,5,8,22,26,56.0,23.4
237,Jock Landale,C,HOU,2,0,3,0.5,1.5,0.0,0.0,0.0,0.2,0.0,1,4,0,0,0,0,12.0,1.8
238,Joe Harris,SG,DET,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
239,Joe Ingles,SF,ORL,4,0,20,7.5,2.8,3.0,0.5,0.2,1.2,1.2,11,18,7,13,1,1,81.0,11.600000000000001
240,Joel Embiid,C,PHI,3,3,36,34.7,11.7,5.7,1.7,0.7,4.7,3.3,29,62,2,11,44,47,63.0,46.500000000000014
241,John Butler,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
